# rshift,intensity
80.391256,0.259876
80.702613,0.259877
81.013969,0.259878
81.325325,0.259879
81.636681,0.259880
81.948038,0.259881
82.259394,0.259882
82.570750,0.259883
82.882107,0.259883
83.193463,0.259884
83.504819,0.259885
83.816176,0.259886
84.127532,0.259887
84.438888,0.259888
84.750244,0.259889
85.061601,0.259890
85.372957,0.259890
85.684313,0.259891
85.995670,0.259892
86.307026,0.259893
86.618382,0.259894
86.929738,0.259895
87.241095,0.259896
87.552451,0.259897
87.863807,0.259898
88.175164,0.259899
88.486520,0.259899
88.797876,0.259900
89.109232,0.259901
89.420589,0.259902
89.731945,0.259903
90.043301,0.259904
90.354658,0.259905
90.666014,0.259906
90.977370,0.259907
91.288726,0.259908
91.600083,0.259909
91.911439,0.259910
92.222795,0.259911
92.534152,0.259911
92.845508,0.259912
93.156864,0.259913
93.468221,0.259914
93.779577,0.259915
94.090933,0.259916
94.402289,0.259917
94.713646,0.259918
95.025002,0.259919
95.336358,0.259920
95.647715,0.259921
95.959071,0.259922
96.270427,0.259923
96.581783,0.259924
96.893140,0.259925
97.204496,0.259926
97.515852,0.259927
97.827209,0.259928
98.138565,0.259929
98.449921,0.259930
98.761277,0.259931
99.072634,0.259932
99.383990,0.259933
99.695346,0.259934
100.006703,0.259935
100.318059,0.259936
100.629415,0.259937
100.940771,0.259938
101.252128,0.259939
101.563484,0.259940
101.874840,0.259941
102.186197,0.259942
102.497553,0.259943
102.808909,0.259944
103.120266,0.259945
103.431622,0.259946
103.742978,0.259947
104.054334,0.259948
104.365691,0.259949
104.677047,0.259950
104.988403,0.259951
105.299760,0.259952
105.611116,0.259953
105.922472,0.259954
106.233828,0.259955
106.545185,0.259956
106.856541,0.259957
107.167897,0.259958
107.479254,0.259959
107.790610,0.259961
108.101966,0.259962
108.413322,0.259963
108.724679,0.259964
109.036035,0.259965
109.347391,0.259966
109.658748,0.259967
109.970104,0.259968
110.281460,0.259969
110.592816,0.259970
110.904173,0.259971
111.215529,0.259972
111.526885,0.259974
111.838242,0.259975
112.149598,0.259976
112.460954,0.259977
112.772311,0.259978
113.083667,0.259979
113.395023,0.259980
113.706379,0.259981
114.017736,0.259982
114.329092,0.259984
114.640448,0.259985
114.951805,0.259986
115.263161,0.259987
115.574517,0.259988
115.885873,0.259989
116.197230,0.259990
116.508586,0.259992
116.819942,0.259993
117.131299,0.259994
117.442655,0.259995
117.754011,0.259996
118.065367,0.259997
118.376724,0.259998
118.688080,0.260000
118.999436,0.260001
119.310793,0.260002
119.622149,0.260003
119.933505,0.260004
