# i,T,amp,error_amp,c,error_c,w,error_w
0.000e+00,1.500e+01,3.301e-01,4.670e-03,6.664e+02,5.337e-02,6.365e+00,1.350e-01
5.000e+00,2.200e+01,2.822e-01,4.015e-03,6.655e+02,5.713e-02,6.137e+00,1.442e-01
1.200e+01,2.800e+01,2.962e-01,5.511e-03,6.656e+02,7.078e-02,6.123e+00,1.831e-01
1.800e+01,3.300e+01,2.798e-01,5.277e-03,6.654e+02,6.099e-02,5.150e+00,1.495e-01
4.600e+01,6.000e+01,5.163e-01,7.963e-03,6.646e+02,6.330e-02,5.493e+00,1.493e-01
5.100e+01,7.000e+01,4.019e-01,4.291e-03,6.652e+02,3.125e-02,4.949e+00,8.171e-02
5.400e+01,8.000e+01,3.989e-01,5.117e-03,6.647e+02,3.827e-02,5.168e+00,1.007e-01
5.600e+01,9.000e+01,5.061e-01,6.842e-03,6.661e+02,6.072e-02,4.500e+00,9.099e-02
6.000e+01,2.000e+02,3.808e-01,6.039e-03,6.644e+02,8.645e-02,5.490e+00,1.315e-01
6.400e+01,3.000e+02,3.667e-01,4.558e-03,6.616e+02,9.766e-02,7.903e+00,1.537e-01
6.500e+01,3.000e+02,2.790e-01,4.047e-03,6.619e+02,9.259e-02,6.428e+00,1.425e-01
7.100e+01,3.800e+02,9.844e-02,3.906e-03,6.590e+02,3.795e-01,9.715e+00,6.180e-01
7.200e+01,4.000e+02,1.443e-01,3.314e-03,6.591e+02,2.486e-01,1.168e+01,5.256e-01
7.400e+01,4.200e+02,9.668e-02,5.098e-03,6.594e+02,6.587e-01,1.829e+01,1.503e+00
7.500e+01,4.400e+02,9.340e-02,4.486e-03,6.578e+02,6.508e-01,1.686e+01,1.383e+00
7.600e+01,4.500e+02,8.475e-02,2.445e-03,6.562e+02,3.618e-01,1.267e+01,7.331e-01
8.000e+01,4.720e+02,8.504e-02,3.173e-03,6.576e+02,1.039e+00,3.052e+01,1.993e+00
8.200e+01,4.820e+02,8.390e-02,3.581e-03,6.586e+02,1.184e+00,3.597e+01,2.483e+00
8.300e+01,4.890e+02,6.778e-02,3.287e-03,6.567e+02,1.512e+00,3.277e+01,2.860e+00
8.500e+01,5.000e+02,4.083e-02,4.103e-03,6.570e+02,2.701e+00,3.061e+01,5.099e+00
